nombre,tipo,detalle_tipo_rotacion,tema,fecha_edicion,fecha_inicio,fecha_fin,anio,mes,dia_inicio,dia_fin,fecha_texto,sitioWeb,categoria,frecuencia,agrupacion,provincia,entidadOrganizadora,sedeRaw,localidad
4° Seminario Internacional de Cerezas Frescas Tempranas 2025,Seminario,Nacional,Agricultura y ganadería,2025-03-29,2025-04-03,2025-04-04,2025,abril,3,4,el jueves 3 de abril desde las 8 en la Nave Cultural de Ciudad e incluirá actividades de campo el 4 de abril,https://www.mendoza.gov.ar/prensa/mendoza-sera-sede-de-la-cuarta-edicion-del-seminario-internacional-de-cerezas-frescas-tempranas-2025/,Académico,Anual,CONGRESOS Y CONVENCIONES,Mendoza,manual,Nave Cultural de Ciudad,Desconocido
El Futuro se Diseña,Jornada,Provincial,Educación,2025-05-30,2025-06-05,2025-06-05,2025,junio,5,5,el jueves 5 de junio,https://www.mendoza.gov.ar/prensa/destacados-referentes-dictaran-lajornada-de-capacitacion-para-educacion-privadael-futuro-se-disena/,Académico,Anual,CONGRESOS Y CONVENCIONES,Mendoza,manual,Nave Cultural de Mendoza,Desconocido
Inteligencia artificial y tecnología,Encuentro,Provincial,Tecnología,2025-05-09,2025-05-10,2025-05-10,2025,mayo,10,10,"Sábado 10 de mayo, de 9 a 19",https://www.mendoza.gov.ar/prensa/mendoza-se-posiciona-como-polo-de-innovacion-tecnologica-con-un-gran-evento-sobre-ia/,Académico,Anual,CONGRESOS Y CONVENCIONES,Mendoza,manual,"Nave Cultural, Ciudad de Mendoza",Desconocido
Taller de Buenas Prácticas: Edición 2025,Workshop,Único,Educación,2025-05-07,2025-05-07,2025-05-07,2025,Mayo,07,07,07 Mayo 2025,https://www.uda.edu.ar/index.php/categoria-uda/1687-taller-de-buenas-practicas-edicion-2025,Académico,Anual,CONGRESOS Y CONVENCIONES,Mendoza,manual,Universidad del Aconcagua,MENDOZA
,Otro tipo de evento,Provincial,Deporte y ocio,2025-06-27,,,2025,,,,,https://www.mendoza.gov.ar/prensa/salud-y-deportes/deportes/,Académico,Anual,CONGRESOS Y CONVENCIONES,Mendoza,manual,,Desconocido
,Otro tipo de evento,NS/NC,Educación,2025-07-01,,,2025,,,,,https://www.uda.edu.ar/index.php/universidad-del-aconcagua,Académico,Anual,CONGRESOS Y CONVENCIONES,Mendoza,manual,,Desconocido
Maker Day,Encuentro,Provincial,Tecnología,2025-04-15,2025-04-22,2025-04-23,2025,abril,22,23,22 y 23 de abril,https://www.mendoza.gov.ar/prensa/mendoza-sera-sede-del-maker-day-un-encuentro-inspirador-para-el-futuro-de-los-jovenes-mendocinos/,Académico,Anual,CONGRESOS Y CONVENCIONES,Mendoza,manual,"La Nave Cultural de la Ciudad de Mendoza y en el Centro de Congresos y Exposiciones Alfredo Bufano de San Rafael (Luis Tirasso 1025), respectivamente",Desconocido
UDAPALOOZA 2025,Evento Cultural,Local,Psicología,2025-05-23,2025-05-23,2025-05-23,2025,mayo,23,23,Este viernes 23 de mayo,https://www.uda.edu.ar/index.php/noticias-psi/1677-udapalooza-2025,Académico,Anual,CONGRESOS Y CONVENCIONES,Mendoza,manual,"Facultad de Psicología, Universidad del Aconcagua, Catamarca 361, Ciudad de Mendoza",Desconocido
